de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG6.PA12,52_urban_green_city_cities,0.48036796695509076,52,0,0.0,urban,green,city,cities,spaces,planning,infrastructure,plan,nature,space
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG8.PA5,3_water_groundwater_resources_irrigation,0.6412715065481664,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG10.PA4,66_wetlands_wetland_ramsar_water,0.7360861970020973,66,0,0.0,wetlands,wetland,ramsar,water,convention,pollution,loss,wise,freshwater,in
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG10.PA5,39_carbon_co2_vegetation_net,0.8975674760419396,39,0,0.0,carbon,co2,vegetation,net,sink,emissions,biomass,atmospheric,forest,air
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG10.PA7,14_wildlife_disease_trade_diseases,0.211228487145727,14,0,0.0,wildlife,disease,trade,diseases,animal,animals,zoonosis,pathogens,infectious,human
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG11.PA1,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG11.PA24,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA4,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA5,3_water_groundwater_resources_irrigation,0.3782941621135274,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA6,78_mangrove_mangroves_coastal_forests,1.0,78,0,0.0,mangrove,mangroves,coastal,forests,ecosystems,wetlands,restoration,marshes,in,salt
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA7,78_mangrove_mangroves_coastal_forests,0.3030477143534543,78,0,0.0,mangrove,mangroves,coastal,forests,ecosystems,wetlands,restoration,marshes,in,salt
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA8,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA9,4_fisheries_fishing_aquaculture_marine,0.7875827158347987,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA11,14_wildlife_disease_trade_diseases,0.36932510984225136,14,0,0.0,wildlife,disease,trade,diseases,animal,animals,zoonosis,pathogens,infectious,human
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG13.PA14,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG14.PA6,93_coral_reefs_reef_bleaching,0.5396217001916453,93,0,0.0,coral,reefs,reef,bleaching,corals,caribbean,coastal,marine,acidification,ecosystems
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG16.PA5,49_species_extinction_threatened_red,0.8843547700340966,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG16.PA7,49_species_extinction_threatened_red,0.8382428675233035,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG16.PA8,49_species_extinction_threatened_red,0.7014371949076859,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG16.PA10,49_species_extinction_threatened_red,0.696193712896771,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA7,1_food_diet_healthy_diets,0.9951468461219649,1,0,0.0,food,diet,healthy,diets,foods,cost,insecurity,nutrition,dietary,income
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA9,4_fisheries_fishing_aquaculture_marine,0.9557773355936774,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA11,47_supplementary_drought_inconsistent_confidence,0.9189585537384818,47,0,0.0,supplementary,drought,inconsistent,confidence,moisture,material,cdd,spei,drying,chapter
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA12,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA13,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA14,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA15,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA16,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG17.PA17,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG18.PA6,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG18.PA16,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
